StudentName,StudentNumber,CourseName,CourseCode,Grades,CourseWeight,Instructor,Department,UniversityName,Location,Ranking
Brice Suggs,103626,CLINICAL PSYCHOLOGY,1106,89,1.0,Elisa Daley,Industrial Arts & Consumer Services,Rio de Janeiro State University (UERJ),Denmark,127
Raul Gray,645410,NUTRITION SCIENCES,5002,20,1.0,Heidi Malone,Education,University of Haifa,Russian Federation,373
Kathi Senters,973176,BUSINESS ECONOMICS,1301,11,0.5,Lewis Knudsen,Biology & Life Science,Pontifical Catholic University of Chile,Portugal,537
Gladys Dugas,885440,COMPUTER SCIENCE,5507,31,1.0,Jeremy Gough,Social Science,Purdue University,Slovakia,36
Kenneth Burke,170627,PUBLIC ADMINISTRATION,2308,12,1.0,Edward Gentry,Computers & Mathematics,University of Westminster,Netherlands,586
James Brooks,292105,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,3604,35,1.0,David Bensen,Humanities & Liberal Arts,University of KwaZulu-Natal,Colombia,98
Raymond Munoz,274443,PHYSIOLOGY,6002,64,0.5,Barbara Lucio,Biology & Life Science,University of Minho,Ukraine,199
Retha Smith,320982,MEDICAL ASSISTING SERVICES,3501,71,0.5,Daisy Hatcher,Biology & Life Science,Federal University of São Carlos,United Kingdom,751
Joyce Kerrick,113631,ELECTRICAL ENGINEERING,6206,59,1.0,Jessie Thomas,Biology & Life Science,Polytechnic University of Valencia,United States of America,193
Andrew Griffin,806439,OTHER FOREIGN LANGUAGES,2601,15,1.0,Heather Gonzalez,Engineering,Flinders University,United Kingdom,538
James Matthews,862394,ELECTRICAL ENGINEERING,6100,52,1.0,Sergio Orem,Education,University of Waterloo,India,725
Lonnie Johnston,366632,NUCLEAR ENGINEERING,6212,17,0.5,Roland Swindler,Computers & Mathematics,University of Reading,Chile,550
Darrell Hightower,715401,HISTORY,6105,11,0.5,Perry Pena,Engineering,McMaster University,United States of America,197
Christopher Hansen,312847,MINING AND MINERAL ENGINEERING,2602,67,1.0,Guillermo Cribb,Biology & Life Science,Clemson University,Portugal,308
Betty Reiss,687915,FOOD SCIENCE,4801,6,0.5,Dwayne Barrera,Health,University of Haifa,Spain,286
James Shearer,760783,CIVIL ENGINEERING,2307,34,0.5,Vilma Cabot,Biology & Life Science,The Open University,Russian Federation,119
Alisha Miles,964276,COMMUNITY AND PUBLIC HEALTH,5505,20,0.5,Kyle Jones,Business,University of Arkansas,Brazil,19
Estelle Cowart,318037,COMPUTER AND INFORMATION SYSTEMS,2405,61,1.0,John Barber,Industrial Arts & Consumer Services,University of Parma,Germany,322
Randell Carrillo,176513,METALLURGICAL ENGINEERING,5003,39,0.5,Philip Woodall,Computers & Mathematics,King Saud University,Taiwan,94
Victor Omalley,228231,COMPUTER PROGRAMMING AND DATA PROCESSING,3700,86,1.0,Mildred Jennings,Humanities & Liberal Arts,University of East Anglia,United Kingdom,358
